edition_id,edition
1,1896 Summer Olympics
4,1906 Intercalated
5,1908 Summer Olympics
6,1912 Summer Olympics
7,1920 Summer Olympics
8,1924 Summer Olympics
9,1928 Summer Olympics
10,1932 Summer Olympics
11,1936 Summer Olympics
12,1948 Summer Olympics
13,1952 Summer Olympics
14,1956 Summer Olympics
15,1960 Summer Olympics
16,1964 Summer Olympics
17,1968 Summer Olympics
18,1972 Summer Olympics
19,1976 Summer Olympics
20,1980 Summer Olympics
21,1984 Summer Olympics
22,1988 Summer Olympics
23,1992 Summer Olympics
24,1996 Summer Olympics
25,2000 Summer Olympics
26,2004 Summer Olympics
29,1924 Winter Olympics
30,1928 Winter Olympics
31,1932 Winter Olympics
32,1936 Winter Olympics
33,1948 Winter Olympics
34,1952 Winter Olympics
35,1956 Winter Olympics
36,1960 Winter Olympics
37,1964 Winter Olympics
38,1968 Winter Olympics
39,1972 Winter Olympics
40,1976 Winter Olympics
41,1980 Winter Olympics
42,1984 Winter Olympics
43,1988 Winter Olympics
44,1992 Winter Olympics
45,1994 Winter Olympics
46,1998 Winter Olympics
47,2002 Winter Olympics
48,1956 Equestrian
49,2006 Winter Olympics
53,2008 Summer Olympics
54,2012 Summer Olympics
57,2010 Winter Olympics
58,2014 Winter Olympics
59,2016 Summer Olympics
60,2018 Winter Olympics
62,2022 Winter Olympics
72,2026 Winter Olympics
